what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1295167743870
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1295167743878
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1295167743883
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1295167743896
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1295167743911
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1295167743923
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1295167743950
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295167743961
os,sysinfo,,,"win32",1295167743965
arch,sysinfo,,,"x86",1295167743965
ws,sysinfo,,,"win32",1295167743965
locale,sysinfo,,,"ja_JP",1295167743965
processors,sysinfo,,,"2",1295167743965
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295167743965
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1295167743965
java.specification.name,sysinfo,,,"Java Platform API Specification",1295167743965
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295167743965
java.specification.version,sysinfo,,,"1.6",1295167743965
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295167743965
java.version,sysinfo,,,"1.6.0_22",1295167743965
java.vm.info,sysinfo,,,"mixed mode, sharing",1295167743965
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295167743965
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295167743965
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295167743965
java.vm.specification.version,sysinfo,,,"1.0",1295167743965
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295167743965
java.vm.version,sysinfo,,,"17.1-b03",1295167743965
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295167753662
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295167753812
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295167755429
